facility_name,facility_type,latitude,longitude,huc8,river_segment,permit_status,primary_sic_code,parameter_groups,parameter_groups_available,manganese_parameter_flag,compliance_violation_flag,data_year_start,data_year_end,npdes_ids,compliance_status,cwa_compliance_status,significant_violation_flag,quarters_with_noncompliance_3y,inspection_count_5y,formal_enforcement_actions_5y,permit_type_label,facility_city,facility_state,facility_county,registry_id,active_flag,source_notes
PAUL TA POULTRY HOUSES,industrial,34.12103,-83.1626,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR149650,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMER,GA,MADISON COUNTY,110070010666,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PAYNE RESIDENCE,industrial,34.412861,-83.5175,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR18B1AD,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ALTO,GA,BANKS COUNTY,110071863581,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PEACEFUL VALLEY MANOR - LOTS 1-4,industrial,33.92687,-83.22825,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR38F500 GAR38F509,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,WINTERVILLE,GA,,110071147546,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PEACEFUL VALLEY MANOR - LOTS 5-7,industrial,33.923,-83.2254,03060104,Broad,No Violation Identified,1521,[],0,0,0,2023,2026,GAR38F507,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,WINTERVILLE,GA,CLARKE COUNTY,110071146432,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PERDUE AGRIBUSINESS LLC,industrial,34.384997,-83.080783,03060104,Broad,Failure to Report DMR - Not Received,2079,[],0,0,1,2023,2026,GAIS15228,Significant Violation,Failure to Report DMR - Not Received,1,2,0,0,Non-M,BOWERSVILLE,GA,HART COUNTY,110070864347,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PETER TA POULTRY HOUSES,industrial,34.10736,-83.06405,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR149026,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,COMER,GA,,110070020364,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PHAM & NGUYEN POULTRY FARM,industrial,34.33472,-83.15756,03060104,Broad,Terminated Permit,,[],0,0,0,2023,2026,GAR1546DD,,Terminated Permit,0,0,1,0,Non-M,CANON,GA,,110070551801,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
PHAN POULTRY FARM - 1343 AIRPORT ROAD,industrial,34.344737,-83.143764,03060104,Broad,No Violation Identified,,[],0,0,0,2023,2026,GAR152154,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,CANON,GA,FRANKLIN COUNTY,110070007520,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"PI 0013808 0016526 FRANKLIN, CONSTRUCTION OF 2 BRIDGES SR 106 OVER NAILS CREEK A",industrial,34.2551,-83.2672,03060104,Broad,No Violation Identified,1623,[],0,0,0,2023,2026,GAR254419,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ROYSTON,GA,FRANKLIN COUNTY,110072110894,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
"PI 0019871 OGLETHORPE COUNTY, BRIDGE ON CRAWFORD SMITHONIA RD (CR 310) OVER BIG",industrial,33.95816,-83.16666,03060104,Broad,No Violation Identified,1623,[],0,0,0,2023,2026,GAR25434B,No Violation Identified,No Violation Identified,0,0,0,0,Non-M,ARNOLDSVILLE,GA,OGLETHORPE COUNTY,110071960743,Y,ECHO facility-search export does not expose discharge-parameter groups or pollutant-specific metals.
